City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Pisco,PE,73.4,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
3,Chuy,UY,73.67,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
9,Gigmoto,PH,79.38,overcast clouds,13.7796,124.39,Cj's Travellers Inn
12,Rikitea,PF,76.84,broken clouds,-23.1203,-134.9692,Pension Maro'i
15,Port Alfred,ZA,73.0,scattered clouds,-33.5906,26.891,The Halyards Hotel
18,Elumalai,IN,82.4,scattered clouds,9.8667,77.7,ANBU Finance
19,Hermanus,ZA,73.99,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
25,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
29,Putiao,PH,76.95,overcast clouds,13.0195,123.7148,danlog church
31,Lorengau,PG,82.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
35,Saint-Philippe,RE,86.0,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
37,Hithadhoo,MV,82.33,broken clouds,-0.6,73.0833,Scoop Guest House
50,Nampula,MZ,87.8,scattered clouds,-15.1165,39.2666,Tacab Residencial
55,Kasangulu,CD,89.6,light rain,-4.5911,15.1708,Hôtel le Relais
56,Segou,ML,88.25,overcast clouds,13.4317,-6.2157,Comme chez soi
57,Morant Bay,JM,80.6,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
66,Alice Springs,AU,82.0,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
70,Arraial Do Cabo,BR,78.8,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
82,Sabancuy,MX,73.31,clear sky,18.9667,-91.1833,pulpo
84,Kloulklubed,PW,77.0,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
87,Cape Town,ZA,75.99,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
89,Inhambane,MZ,89.6,scattered clouds,-23.865,35.3833,Oceano
91,Jabinyanah,TN,77.0,scattered clouds,35.035,10.9081,maison belmabrouk
93,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
94,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
97,Ambon,ID,78.8,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
101,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
106,Bambous Virieux,MU,86.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
117,Gizo,SB,83.39,clear sky,-8.103,156.8419,Imagination Island
128,Mchinji,MW,77.72,moderate rain,-13.7984,32.8802,Kayesa Inn
129,Concordia,AR,79.0,clear sky,-31.393,-58.0209,Palmar Hotel Casino
131,Port-Gentil,GA,80.6,light rain,-0.7193,8.7815,Fengshui Residence
133,Kavaratti,IN,81.75,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
134,Alampur,IN,81.0,clear sky,15.8833,78.15,Haritha Hotel Alampur
136,Richards Bay,ZA,84.51,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
138,Cap Malheureux,MU,82.99,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
144,Cayenne,GF,82.4,light rain,4.9333,-52.3333,Hôtel Le Dronmi
145,Salalah,OM,77.0,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
149,Rock Sound,BS,75.72,clear sky,24.9,-76.2,Rock Sound Club
151,Barranca,PE,72.82,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
152,Kasongo,CD,80.85,moderate rain,-4.45,26.6667,Guest Hôtel
153,Cidreira,BR,74.71,broken clouds,-30.1811,-50.2056,Hotel Castelo
169,Mahebourg,MU,86.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
172,East London,ZA,75.2,clear sky,-33.0153,27.9116,Tu Casa
175,Maceio,BR,86.0,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
176,Bajil,YE,78.89,overcast clouds,15.0584,43.2851,شبكة ماكس نت MAX WIFI
187,Sao Joao Da Barra,BR,77.0,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
190,Dwarka,IN,75.99,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
193,Kruisfontein,ZA,70.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
197,Souillac,MU,86.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
199,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
200,Bredasdorp,ZA,71.6,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
208,Celestun,MX,72.34,clear sky,20.8667,-90.4,Posada Lilia
210,Bengkulu,ID,79.86,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
214,Palmares Do Sul,BR,74.86,overcast clouds,-30.2578,-50.5097,Restaurante e Pensão Lopes
220,Aruppukkottai,IN,82.4,scattered clouds,9.5167,78.1,Karadi Lodge
222,Waddan,LY,84.16,clear sky,29.1614,16.139,محل الشريف محمد العايب
229,Gweta,BW,88.75,overcast clouds,-20.1833,25.2333,Gweta Lodge
230,Boyolangu,ID,76.89,overcast clouds,-8.1181,111.8935,Yos ega cv
236,Touros,BR,87.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
243,Campoverde,PE,80.6,scattered clouds,-8.4753,-74.8058,Hospedaje Coral's
245,Olinda,BR,84.2,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
250,Marsh Harbour,BS,76.14,clear sky,26.5412,-77.0636,Abaco Beach Resort
251,Mbandaka,CD,87.55,scattered clouds,0.0487,18.2603,Guest House Epervier
253,Valdez,EC,77.97,light rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
254,Pangai,TO,78.8,light rain,-19.8,-174.35,Ha'apai Beach Resort
258,Charlestown,AU,73.0,scattered clouds,-32.95,151.6667,Panorama Motor Inn Hotel
261,Dhidhdhoo,MV,81.79,overcast clouds,6.8833,73.1,Dhidhoo beach
265,Doctor Juan Manuel Frutos,PY,71.8,clear sky,-25.3667,-55.8,Balneario Las Burbujas
266,Ciudad Bolivar,VE,80.38,overcast clouds,8.1222,-63.5497,Hotel Edi
269,Mecca,SA,81.68,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
271,Sibolga,ID,79.12,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
272,Kavieng,PG,83.25,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
273,Pyapon,MM,76.96,clear sky,16.2833,95.6833,Aung Naing Thu Motel
274,Isangel,VU,77.0,few clouds,-19.55,169.2667,Volcano Sea View Tree House
277,Faanui,PF,81.21,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
279,Menongue,AO,79.38,light rain,-14.6585,17.691,Ritz Lauca
285,Samarai,PG,83.34,broken clouds,-10.6167,150.6667,Nuli Sapi
286,Sumbe,AO,80.28,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
289,Sainte-Suzanne,RE,86.0,broken clouds,-20.9061,55.6089,Gites Ango
292,Vao,NC,77.45,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
296,Boa Vista,BR,80.6,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
302,Ratnagiri,IN,82.67,clear sky,16.9833,73.3,Hotel Landmark
303,Port Hedland,AU,80.6,clear sky,-20.3167,118.5667,The Esplanade Hotel
305,Mogadishu,SO,82.4,few clouds,2.0371,45.3438,Hotel Juba
307,Kismayo,SO,81.19,scattered clouds,-0.3582,42.5454,Agan-Hotel
308,Tabou,CI,83.43,overcast clouds,4.423,-7.3528,hotêl doufoulougou
314,Namatanai,PG,81.0,broken clouds,-3.6667,152.4333,Namatanai Hotel
315,Galesong,ID,78.8,few clouds,-5.3166,119.3661,Sapriadi Appy
319,Alyangula,AU,80.6,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
320,Ishigaki,JP,70.61,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
324,Afonso Claudio,BR,71.01,overcast clouds,-20.0742,-41.1239,Pousada Afonso Cláudio
326,Natal,BR,87.8,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
328,Gwadar,PK,71.38,clear sky,25.1216,62.3254,Sadaf Resort
329,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
333,Cairns,AU,82.4,heavy intensity drizzle,-16.9167,145.7667,Mantra Trilogy Cairns
335,Coffs Harbour,AU,73.4,broken clouds,-30.3,153.1333,Aquajet Motel
342,Bitam,GA,88.63,scattered clouds,2.076,11.5007,Bénédicta hôtel
345,Caravelas,BR,86.45,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
347,Akhmim,EG,75.2,clear sky,26.5622,31.745,برج الماسة السكني
348,Ancud,CL,70.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
351,Karratha,AU,80.37,clear sky,-20.7377,116.8463,ibis Styles Karratha
353,Chumphon,TH,84.2,few clouds,10.3333,98.8333,สกาน จ๋า.
354,Acapulco,MX,75.2,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
356,Trairi,BR,88.12,clear sky,-3.2778,-39.2689,janelas do mar
361,Puerto Lopez,CO,82.08,overcast clouds,4.0845,-72.956,Resguardo Indigena Maguare
365,Montepuez,MZ,79.3,overcast clouds,-13.1256,38.9997,Complexo Messalo
368,Atar,MR,72.97,clear sky,20.5169,-13.0499,Oumou Elghoura
371,Cururupu,BR,85.44,broken clouds,-1.8283,-44.8683,Pousada Través'cia
373,Veinticinco De Mayo,AR,77.0,clear sky,-35.4323,-60.1727,Estancia La Rosada
378,Najran,SA,75.2,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
382,Sur,OM,73.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
384,Camabatela,AO,72.43,moderate rain,-8.1881,15.375,Pensão E Restaurantes
387,Mount Isa,AU,78.8,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
392,Cotonou,BJ,89.6,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
395,Flinders,AU,70.0,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
399,Chimbote,PE,72.36,scattered clouds,-9.0853,-78.5783,Hotel Briliá
402,Byron Bay,AU,75.2,light rain,-28.65,153.6167,Backpackers Inn on the Beach
405,Manokwari,ID,79.23,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
414,Katherine,AU,75.2,light rain,-14.4667,132.2667,Pine Tree Motel
420,Kirakira,SB,79.07,overcast clouds,-10.4544,161.9205,SanBiz Lodge
428,Trinidad,BO,82.4,few clouds,-14.8333,-64.9,Hotel Piesta
431,Presidente Epitacio,BR,76.77,clear sky,-21.7633,-52.1156,Hotel Itaverá
438,Dondo,MZ,86.0,light rain,-19.6094,34.7431,Arco Iris
442,Saint-Joseph,RE,86.0,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
444,Umm Lajj,SA,79.7,clear sky,25.0213,37.2685,Moon light Furnished Units
453,Inirida,CO,77.32,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
455,Nouadhibou,MR,73.4,clear sky,20.930999999999997,-17.0347,El Medina
459,Lethem,GY,80.58,overcast clouds,3.3803,-59.7968,Savannah Inn
464,Zambezi,ZM,80.89,moderate rain,-13.5432,23.1047,Royal Kutachika Lodge
470,Luena,AO,77.0,broken clouds,-11.7833,19.9167,Hotel Kandamba
471,Emerald,AU,82.99,scattered clouds,-23.5333,148.1667,The Irish Village
472,Sumenep,ID,80.19,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
476,Kimbe,PG,78.67,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
478,Yazman,PK,70.48,clear sky,29.1212,71.7446,Jamal sons showroom
490,Padang,ID,82.4,few clouds,-0.9492,100.3543,Mercure Padang
496,Siocon,PH,79.16,light rain,7.7061,122.1353,ABS Hotel
497,Karaton,ID,82.0,heavy intensity rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
498,Banjar,ID,78.8,heavy intensity rain,-8.19,114.9675,The Hamsa Resort
504,Baracoa,CU,77.25,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
505,Kanniyakumari,IN,81.55,clear sky,8.0833,77.5667,Sparsa
506,Balangir,IN,71.92,clear sky,20.7167,83.4833,Sarojinee Residency
509,Calvinia,ZA,86.95,overcast clouds,-31.4707,19.776,Die Lemoenhuis
511,Road Town,VG,80.6,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
513,Ranong,TH,84.2,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
518,Ribas Do Rio Pardo,BR,76.24,clear sky,-20.4431,-53.7592,Pousada Avenida
523,Finschhafen,PG,82.63,overcast clouds,-6.6024,147.8681,Cossam Guest House
524,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
525,Isabela,PH,80.6,broken clouds,6.7085,121.9711,Isawad Resort
530,Quatre Cocos,MU,86.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
533,Poum,NC,80.19,broken clouds,-20.2333,164.0167,Gîte kajeon
536,Grand Gaube,MU,82.99,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
537,Saint-Georges,GD,80.6,scattered clouds,12.0564,-61.7485,Siesta Hotel
550,Dzaoudzi,YT,82.4,moderate rain,-12.7887,45.2699,Le Rocher
553,Buin,CL,70.0,mist,-33.7333,-70.75,Paihuen
555,Jalu,LY,80.33,overcast clouds,29.0331,21.5482,صاحبة الفخامة
557,Mocuba,MZ,86.83,light rain,-16.8392,36.9856,Phama Lodge
559,Gossas,SN,84.2,clear sky,14.4912,-16.0642,Mosqué gossas escale
565,Basco,PH,74.1,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
567,Kupang,ID,79.81,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
574,Ambilobe,MG,81.91,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
575,Carutapera,BR,84.33,scattered clouds,-1.195,-46.02,Lidera
576,Labuhan,ID,80.17,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
577,Khon Kaen,TH,79.72,clear sky,16.5,102.0833,Major Grand
582,Kharakvasla,IN,76.84,clear sky,18.4333,73.7667,The Heritage Resort
588,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
591,Pitimbu,BR,87.8,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
592,Takoradi,GH,85.69,overcast clouds,4.8845,-1.7554,Raybow International Hotel
598,Harper,LR,84.9,broken clouds,4.375,-7.7169,Screensaver
599,Madang,PG,77.88,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
601,Cam Ranh,VN,75.2,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
605,Sydney,AU,72.0,broken clouds,-33.8679,151.2073,The Grace Sydney
606,Les Cayes,HT,77.95,broken clouds,18.2,-73.75,Villa Orphee
607,Iralaya,HN,73.4,few clouds,15.0,-83.2333,Iglesia morava renovada
608,Praya,CV,73.4,scattered clouds,14.9215,-23.5087,LT Aparthotel
609,Korampallam,IN,86.0,few clouds,8.7667,78.1,Regency Tuticorin by GRT Hotels
611,Charters Towers,AU,78.55,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
613,Soyo,AO,87.8,light rain,-6.1349,12.3689,Hotel Mpampa
615,Sabang,ID,81.84,overcast clouds,5.8933,95.3214,Hotel Citra
623,San Matias,BO,82.49,scattered clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
624,Mitzic,GA,82.11,moderate rain,0.7821,11.549000000000001,Motel Emys
627,Saldanha,ZA,77.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
628,Dingle,PH,76.23,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
629,Rio Grande,BR,77.0,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
632,Nicoya,CR,71.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
638,Bonthe,SL,86.18,clear sky,7.5264,-12.505,Bonthe Holiday Village
639,Port Moresby,PG,78.8,scattered clouds,-9.4431,147.1797,Lamana Hotel
644,Ugoofaaru,MV,82.0,clear sky,5.6667,73.0,Ungoofaaru Inn
646,Rocha,UY,73.69,clear sky,-34.4833,-54.3333,Beleza Pura B&B
647,Lubango,AO,80.6,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
648,Atambua,ID,75.76,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
650,Paita,PE,77.0,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
652,Butiama,TZ,78.8,few clouds,-1.7667,33.9667,Mwitongo Lodge
653,Kathu,TH,82.4,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
657,Huarmey,PE,72.57,overcast clouds,-10.0681,-78.1522,Hotel Miramar
658,Vila Velha,BR,71.01,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
660,Garowe,SO,89.76,clear sky,8.4054,48.4845,Curubo Hotel
663,Newcastle,AU,73.0,scattered clouds,-32.9272,151.7765,NOAH'S on the beach
664,Iquique,CL,77.0,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
665,Antalaha,MG,84.56,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
666,Isla Mujeres,MX,79.0,few clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
671,Point Fortin,TT,82.0,overcast clouds,10.1833,-61.6833,Jus Les' Suites
673,Presidencia Roque Saenz Pena,AR,82.0,clear sky,-26.7852,-60.4388,Hotel Gualok
675,Buala,SB,78.46,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
676,Morondava,MG,86.2,scattered clouds,-20.2833,44.2833,La Case Bambou
679,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
681,Alta Floresta,BR,71.73,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
684,Kununurra,AU,80.6,light rain,-15.7667,128.7333,Hotel Kununurra
